Mã;Tên loại tài sản;Tên tiếng Anh;Loại sản phẩm lv1;Loại sản phẩm lv1 - Tên tiếng Anh;Loại sản phẩm lv2;Loại sản phẩm lv2 - Tên tiếng Anh;Portfolio;IFRS Purpose;Ghi chú;Đơn vị cơ sở
BBOND_BBC_FIN;TPNH có cam kết mua lại - Công ty tài chính/Công ty Chứng khoán/Công ty quản lý quỹ/Quỹ đầu tư;Bonds with buy back commitment of Finance/Securities/Asset Management Companies/Funds;Trái phiếu của Ngân hàng thương mại (NHTM);Commercial Bank Bonds;TPNH có cam kết mua lại;Bonds with buy back commitment;CPBO;HFT;;
BBOND_BBC_BANK;TPNH có cam kết mua lại - Ngân hàng;Bonds with buy back commitment of bank;Trái phiếu của Ngân hàng thương mại (NHTM);Commercial Bank Bonds;TPNH có cam kết mua lại;Bonds with buy back commitment;CPBO;HFT;;
GBOND_GOV;Trái phiếu Chính phủ (gồm cả Trái phiếu Chính quyền địa phương);Government Bonds (including municipal bonds);Trái phiếu Chính phủ;Government Bonds;Trái phiếu Chính phủ (gồm cả Trái phiếu Chính quyền địa phương);Government Bonds (including municipal bonds);CPBO;HFT;;
GBOND_GUA;Trái phiếu có Bảo lãnh Chính phủ (gồm cả Trái phiếu Chính quyền địa phương);Government guaranteed bonds (including municipal bonds);Trái phiếu Chính phủ;Government Bonds;Trái phiếu có Bảo lãnh Chính phủ (gồm cả Trái phiếu Chính quyền địa phương);Government guaranteed bonds (including municipal bonds);CPBO;HFT;;
BBOND_02Y_G1;Trái phiếu NHTM kỳ hạn tối đa 2 năm - Ngân hàng nhóm I;Commercial Bank Bonds with maximum 2-year maturity Bank group I;Trái phiếu của Ngân hàng thương mại (NHTM);Commercial Bank Bonds;Trái phiếu NHTM kỳ hạn tối đa 2 năm;Commercial Bank Bonds with maximum 2-year maturity;CPBO;HFT;;
BBOND_02Y_G2;Trái phiếu NHTM kỳ hạn tối đa 2 năm - Ngân hàng nhóm II;Commercial Bank Bonds with maximum 2-year maturity Bank group II;Trái phiếu của Ngân hàng thương mại (NHTM);Commercial Bank Bonds;Trái phiếu NHTM kỳ hạn tối đa 2 năm;Commercial Bank Bonds with maximum 2-year maturity;CPBO;HFT;;
BBOND_02Y_G3;Trái phiếu NHTM kỳ hạn tối đa 2 năm - Ngân hàng nhóm III;Commercial Bank Bonds with maximum 2-year maturity Bank group III;Trái phiếu của Ngân hàng thương mại (NHTM);Commercial Bank Bonds;Trái phiếu NHTM kỳ hạn tối đa 2 năm;Commercial Bank Bonds with maximum 2-year maturity;CPBO;HFT;;
BBOND_25Y_G1;Trái phiếu NHTM kỳ hạn trên 2 năm đến 5 năm - Ngân hàng nhóm I;Commercial Bank Bonds with maturity greater than 2 years to maximum 5 years  Bank group I;Trái phiếu của Ngân hàng thương mại (NHTM);Commercial Bank Bonds;Trái phiếu NHTM kỳ hạn trên 2 năm đến 5 năm;Commercial Bank Bonds with maturity greater than 2 years to maximum 5 years;CPBO;HFT;;
BBOND_25Y_G2;Trái phiếu NHTM kỳ hạn trên 2 năm đến 5 năm - Ngân hàng nhóm II;Commercial Bank Bonds with maturity greater than 2 years to maximum 5 years  Bank group II;Trái phiếu của Ngân hàng thương mại (NHTM);Commercial Bank Bonds;Trái phiếu NHTM kỳ hạn trên 2 năm đến 5 năm;Commercial Bank Bonds with maturity greater than 2 years to maximum 5 years;CPBO;HFT;;
BBOND_25Y_G3;Trái phiếu NHTM kỳ hạn trên 2 năm đến 5 năm - Ngân hàng nhóm III;Commercial Bank Bonds with maturity greater than 2 years to maximum 5 years  Bank group III;Trái phiếu của Ngân hàng thương mại (NHTM);Commercial Bank Bonds;Trái phiếu NHTM kỳ hạn trên 2 năm đến 5 năm;Commercial Bank Bonds with maturity greater than 2 years to maximum 5 years;CPBO;HFT;;
BBOND_TI2_G1;Trái phiếu tăng vốn cấp 2 của NHTM - Ngân hàng nhóm I;Commercial Bank Bonds to raise tier 2 capital Bank group I;Trái phiếu của Ngân hàng thương mại (NHTM);Commercial Bank Bonds;Trái phiếu tăng vốn cấp 2 của NHTM;Commercial Bank Bonds to raise tier 2 capital;CPBO;HFT;;
BBOND_TI2_G2;Trái phiếu tăng vốn cấp 2 của NHTM - Ngân hàng nhóm II;Commercial Bank Bonds to raise tier 2 capital Bank group II;Trái phiếu của Ngân hàng thương mại (NHTM);Commercial Bank Bonds;Trái phiếu tăng vốn cấp 2 của NHTM;Commercial Bank Bonds to raise tier 2 capital;CPBO;HFT;;
BBOND_TI2_G3;Trái phiếu tăng vốn cấp 2 của NHTM - Ngân hàng nhóm III;Commercial Bank Bonds to raise tier 2 capital Bank group III;Trái phiếu của Ngân hàng thương mại (NHTM);Commercial Bank Bonds;Trái phiếu tăng vốn cấp 2 của NHTM;Commercial Bank Bonds to raise tier 2 capital;CPBO;HFT;;
EQUITY_COP;Hợp tác kinh doanh, hợp tác đầu tư;Hợp tác kinh doanh, hợp tác đầu tư;Vốn góp cổ phần;Cổ Phiếu;FALSE;;;;;
EQUITY_OTH;Đầu tư liên quan cố phiếu khác;Đầu tư liên quan cổ phiếu khác;Vốn góp cổ phần;Cổ Phiếu;FALSE;;;;;
REAL ESTATE;Bất động sản;Bất động sản;Bất động sản;Bất động sản;FALSE;;;;;
